regime,predicate_count,regime_size_aug,regime_size_reference,rescued_positive_count,harmed_benign_count,genes_with_rescued_positive,path_rescue_margin_mean,benign_rescue_margin_mean,reference_gap,strict_gate_pass,composite_score
high_frob_q80__AND__low_ll_q35,2,216,497,13,38,3,0.02847852327317237,0.0523587881325789,0.01434785684143558,False,0.023606095322850282
high_frob_q80__AND__low_ll_q50,2,282,703,13,43,3,-0.024088041179087714,0.047790510638033974,0.012196801247613506,False,0.0
involves_special_residue__AND__support_rank_top5,2,407,864,13,8,3,-0.2030486868986968,-0.1088156335105835,-0.055443743237461235,False,0.0
support_rank_top5__AND__very_high_disagreement,2,31,30,11,15,3,0.16662734422226702,0.2091466646482687,-0.01865878066407145,False,0.009000192612466734
involves_special_residue__AND__low_ll_q50,2,349,1064,10,13,3,-0.10268619395484098,-0.0702200162700501,0.03250611479289513,False,0.06254992138513031
involves_special_residue__AND__low_ll_q35,2,241,659,10,12,3,-0.10124642276020815,-0.057636337724996434,0.02204337993409179,False,0.038275589286953945
charge_flip__AND__support_rank_top5,2,595,1051,9,6,3,-0.18192648309173726,-0.13303938104372318,-0.03452647386313981,False,0.002504020391968325
support_rank_top5__AND__high_frob_low_ll,2,16,17,9,6,3,0.1924998346653812,0.25729511858462517,-0.03872747901260731,False,0.0
very_high_disagreement__AND__low_ll_q35,2,47,101,8,30,3,0.14354967987366626,0.20981083602209633,0.01599809061962798,False,0.0
very_high_disagreement__AND__low_ll_q50,2,50,116,8,31,3,0.11777909803839542,0.21043876107945092,0.008918633703726364,False,0.0
involves_special_residue__AND__charge_flip,2,234,1434,7,3,3,-0.18251041408098317,-0.10948924354027591,-0.07678914573571338,False,0.0
aromatic_change__AND__high_disagreement_q75,2,141,383,6,5,3,-0.040423918855415075,-0.03426400651680078,0.023325495739675788,False,0.1175397709518576
aromatic_change__AND__high_ref_adv_q75,2,141,383,6,5,3,-0.040423918855415075,-0.03426400651680078,0.023325495739675788,False,0.1175397709518576
support_rank_top5__AND__high_frob_low_ll_and_special,2,8,6,6,1,3,0.1768074177369404,0.17537952389929107,0.008779983201488484,False,0.3160913544554735
high_frob_low_ll__AND__low_ll_q50,2,18,43,6,10,3,0.2198722691972023,0.28825008243508793,-0.01887079597355734,False,0.0
high_frob_low_ll__AND__low_ll_q35,2,18,36,6,10,3,0.2198722691972023,0.28825008243508793,-0.026383626463475807,False,0.0
to_basic__AND__support_rank_top5,2,278,508,6,4,3,-0.1719988604335019,-0.13423778556310453,-0.03532576502038734,False,0.025701742772165526
aromatic_change,1,479,1954,6,5,3,-0.1919021459377397,-0.12326326941820238,-0.054367338610193605,False,0.0
aromatic_change__AND__support_rank_top10,2,479,947,6,5,3,-0.1919021459377397,-0.12326326941820238,-0.07196556867275039,False,0.0
aromatic_change__AND__support_rank_top5,2,322,555,6,3,3,-0.19511754955120655,-0.13970505140796433,-0.0719901368897729,False,0.0
aromatic_change__AND__high_frob_q75,2,145,495,6,5,3,-0.09141890877318794,-0.003241388767328251,-0.10027150999394031,False,0.0
aromatic_change__AND__high_frob_q80,2,119,412,6,5,3,-0.05769469025629984,0.019676799291395135,-0.10191631473925888,False,0.0
aromatic_change__AND__high_disagreement_q85,2,89,252,5,5,3,-0.009818573890636603,0.01592375044982587,0.01337518905636699,False,0.05488126104402743
aromatic_change__AND__high_ref_adv_q85,2,89,252,5,5,3,-0.009818573890636603,0.01592375044982587,0.01337518905636699,False,0.05488126104402743
to_basic__AND__very_high_disagreement,2,9,27,4,3,3,0.13856256469175474,0.178826734467597,0.03552734979709196,False,0.07921056503718697
to_basic__AND__aromatic_change,2,144,612,4,0,3,-0.14499656309521639,-0.138938332340274,-0.022255164073691408,False,0.30759238471540334
high_frob_low_ll_and_special__AND__low_ll_q50,2,7,17,4,2,3,0.14225531822541462,0.2869642986189638,-0.033058897606258575,False,0.0
high_frob_low_ll_and_special__AND__low_ll_q35,2,7,14,4,2,3,0.14225531822541462,0.2869642986189638,-0.047188355138053195,False,0.0
aromatic_change__AND__charge_flip,2,196,750,4,1,3,-0.18201436418997247,-0.12648122899077463,-0.04867833497061022,False,0.0
to_acidic__AND__support_rank_top10,2,180,357,4,1,3,-0.16830417660657448,-0.10516503384817849,-0.0747225758111891,False,0.0
to_basic__AND__involves_special_residue,2,98,523,4,2,3,-0.1938515569139005,-0.096940376015476,-0.07775234354793364,False,0.0
to_acidic,1,180,888,4,1,3,-0.16830417660657448,-0.10516503384817849,-0.11761163488784754,False,0.0
to_acidic__AND__charge_flip,2,135,702,4,1,3,-0.16958032063458156,-0.10297943633940465,-0.12998677246885915,False,0.0
to_acidic__AND__high_frob_q80,2,29,244,4,1,3,-0.014847954457707611,0.04133270454846639,-0.20739826303755465,False,0.0
to_acidic__AND__high_frob_q75,2,33,291,4,1,3,-0.023995346542750755,0.019691789024935732,-0.21652085187049144,False,0.02209502551309732
to_basic__AND__high_frob_low_ll,2,4,14,3,1,3,0.24245840209701983,0.20381931296450795,0.07032303443938681,False,0.4172755743762341
polarity_flip__AND__support_rank_top5,2,528,928,12,6,2,-0.19358054779918402,-0.12009978134824964,-0.05959980249931379,False,0.0
polarity_flip,1,809,3601,12,15,2,-0.20826550431988433,-0.09439917789972671,-0.06883555113231311,False,0.0
polarity_flip__AND__support_rank_top10,2,809,1639,12,15,2,-0.20826550431988433,-0.09439917789972671,-0.07545941698147432,False,0.0
polarity_flip__AND__high_frob_q80,2,213,830,12,15,2,-0.09451109044749542,0.03175647249801808,-0.12116213637079179,False,0.0
polarity_flip__AND__high_frob_q75,2,263,1066,12,15,2,-0.11742413554182168,0.013258057250850759,-0.12157299618013044,False,0.0
polarity_flip__AND__high_disagreement_q75,2,278,804,11,15,2,-0.05430041775263753,-0.020587561337643175,0.03324087099803073,False,0.051075765038756264
polarity_flip__AND__high_ref_adv_q75,2,278,804,11,15,2,-0.05430041775263753,-0.020587561337643175,0.03324087099803073,False,0.051075765038756264
polarity_flip__AND__high_disagreement_q85,2,174,521,9,15,2,-0.028456050196488874,0.01815907426116183,0.017247694719456863,False,0.01740873115839895
polarity_flip__AND__high_ref_adv_q85,2,174,521,9,15,2,-0.028456050196488874,0.01815907426116183,0.017247694719456863,False,0.01740873115839895
from_hydrophobic__AND__support_rank_top5,2,476,802,9,6,2,-0.1738186417698422,-0.13253048609844803,-0.03833386655907528,False,0.016801414062311223
from_hydrophobic,1,735,3411,9,14,2,-0.19742293711515163,-0.1057768001671807,-0.04786932371944996,False,0.0
from_hydrophobic__AND__polarity_flip,2,390,1556,9,6,2,-0.19681996752886813,-0.09090353604130756,-0.06283539019627112,False,0.0
from_hydrophobic__AND__support_rank_top10,2,735,1542,9,14,2,-0.19742293711515163,-0.1057768001671807,-0.07219723935047505,False,0.0
from_hydrophobic__AND__high_frob_q80,2,136,528,9,14,2,-0.10264992287473279,0.04989397522403323,-0.08903795435909656,False,0.0
from_hydrophobic__AND__high_frob_q75,2,168,668,9,14,2,-0.12267040945944896,0.026578863456659333,-0.09373327264134337,False,0.0
from_hydrophobic__AND__high_disagreement_q75,2,225,670,8,14,2,-0.03677750562837535,-0.01988887211706387,0.028514654926625214,False,0.04930081713225099
from_hydrophobic__AND__high_ref_adv_q75,2,225,670,8,14,2,-0.03677750562837535,-0.01988887211706387,0.028514654926625214,False,0.04930081713225099
charge_flip__AND__low_ll_q50,2,545,1467,7,15,2,-0.12073258269881618,-0.09975997458218797,0.02536428796211381,False,0.03569453989859993
charge_flip__AND__low_ll_q35,2,417,992,7,13,2,-0.11501839210878101,-0.09317092361779954,0.02280584404137206,False,0.038218781662792946
involves_special_residue__AND__polarity_flip,2,279,1341,7,6,2,-0.2052772265000771,-0.07583759795797856,-0.0846600244210851,False,0.0
from_hydrophobic__AND__high_disagreement_q85,2,129,413,6,14,2,-0.012533745047421135,0.026324117534661566,0.01721039261313871,False,0.01701151801863361
from_hydrophobic__AND__high_ref_adv_q85,2,129,413,6,14,2,-0.012533745047421135,0.026324117534661566,0.01721039261313871,False,0.01701151801863361
from_hydrophobic__AND__involves_special_residue,2,127,490,6,2,2,-0.17121856535932345,-0.1019085666361471,-0.06030939268387228,False,0.0
support_rank_top5__AND__low_ll_q50,2,776,999,5,17,2,-0.11371926755517532,-0.12322137739245596,0.04393714949663903,False,0.04309969138913319
